Title,Price,Bids,Finish Time,Url
Sony Camcorder,$30.00 ,5 , 12/06 07:53 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492646
Sony Camcorder,$20.00 ,3 , 12/06 07:52 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492645
"2-Way Radios, Ballasts",$80.00 ,11 , 12/06 07:52 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492640
NEC Projector ,$35.00 ,7 , 12/06 07:51 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492644
"Miscellaneous Filters, Stihl Saw Parts ",$30.00 ,5 , 12/06 07:51 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492639
Metal Lockers,$55.00 ,9 , 12/06 07:50 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492643
NEC Projector ,$25.00 ,4 , 12/06 07:49 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492642
Portable Shelving ,$15.00 ,3 , 12/06 07:48 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492641
Disconnect Switches ,$70.00 ,5 , 12/06 07:45 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492638
Master Portable Generator ,$65.00 ,5 , 12/06 07:44 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492632
Inbal Regulator Valves,$10.00 ,1 , 12/06 07:44 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492637
Tempest Power Blower,$55.00 ,4 , 12/06 07:43 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492636
Pressure Washer ,$75.00 ,7 , 12/06 07:42 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492635
"Polycom VSX8000, DVD/VCR Combo",$50.00 ,10 , 12/06 07:41 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492624
Interior Fluorescent Light Fixtures,$10.00 ,1 , 12/06 07:41 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492634
Used Skid Steer Tracks,$10.00 ,1 , 12/06 07:40 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492633
Master Portable Generator ,$85.00 ,6 , 12/06 07:38 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492631
Exterior Flood Lights,$15.00 ,2 , 12/06 07:37 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492630
Exterior Flood Lights,$10.00 ,1 , 12/06 07:36 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492629
Hi-Tek M59 Exterior Flood Lights,$35.00 ,5 , 12/06 07:35 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492628
Interior Fluorescent Light Fixtures,$30.00 ,6 , 12/06 07:34 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492627
Eurorack A/V System,$330.00 ,33 , 12/06 07:34 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492592
Exterior Flood Lights,$20.00 ,3 , 12/06 07:33 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492626
Fluorescent Light Fixtures ,$5.00 ,,-,,,,,,,,,,, 12/06 07:32 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492625
Rolling Chair Rack,$30.00 ,6 , 12/06 07:30 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492623
Wood & Fabric Chair ,$75.00 ,16 , 12/06 07:29 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492622
Metal Lockers,$80.00 ,16 , 12/06 07:28 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492621
Metal Lockers,$55.00 ,10 , 12/06 07:27 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492620
Metal Lockers,$55.00 ,9 , 12/06 07:26 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492619
Couch,$335.00 ,22 , 12/06 07:26 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492614
Wood Table,$30.00 ,4 , 12/06 07:25 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492618
(50) Chairs w/ Rolling Rack,$295.00 ,17 , 12/06 07:24 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492617
